Measure Names,reg_area_cod,species,year,Measure Values
landings,7BCEFGHJK,BLI,2004,24.5309
discards,7BCEFGHJK,BLI,2005,15.822
landings,7BCEFGHJK,BLI,2005,11.7687
discards,7BCEFGHJK,BLI,2006,0
landings,7BCEFGHJK,BLI,2006,5.339
discards,7BCEFGHJK,BLI,2007,4.729
landings,7BCEFGHJK,BLI,2007,5.8972
discards,7BCEFGHJK,BLI,2008,11.553
landings,7BCEFGHJK,BLI,2008,1.9385
discards,7BCEFGHJK,BLI,2009,1.16
landings,7BCEFGHJK,BLI,2009,0.267
discards,7BCEFGHJK,BLI,2010,32.906
landings,7BCEFGHJK,BLI,2010,16.261
discards,7BCEFGHJK,BLI,2011,14.048001
landings,7BCEFGHJK,BLI,2011,20.92092
discards,7BCEFGHJK,BLI,2012,10.850519
landings,7BCEFGHJK,BLI,2012,11.51213
discards,7BCEFGHJK,BLI,2013,12.959
landings,7BCEFGHJK,BLI,2013,43.89568
discards,7BCEFGHJK,BLI,2014,194.298643
landings,7BCEFGHJK,BLI,2014,25.99125
discards,7BCEFGHJK,BLI,2015,68.96
landings,7BCEFGHJK,BLI,2015,32.10917
discards,7BCEFGHJK,BLL,2003,1.012
landings,7BCEFGHJK,BLL,2003,228.2127
discards,7BCEFGHJK,BLL,2004,0.125
landings,7BCEFGHJK,BLL,2004,241.3475
discards,7BCEFGHJK,BLL,2005,0
landings,7BCEFGHJK,BLL,2005,260.8347
discards,7BCEFGHJK,BLL,2006,2.618
landings,7BCEFGHJK,BLL,2006,235.7857
discards,7BCEFGHJK,BLL,2007,5.916
landings,7BCEFGHJK,BLL,2007,265.939
discards,7BCEFGHJK,BLL,2008,1.043
landings,7BCEFGHJK,BLL,2008,221.0533
discards,7BCEFGHJK,BLL,2009,0.636
landings,7BCEFGHJK,BLL,2009,213.86798
discards,7BCEFGHJK,BLL,2010,0.266
landings,7BCEFGHJK,BLL,2010,71.841
discards,7BCEFGHJK,BLL,2011,12.546
landings,7BCEFGHJK,BLL,2011,82.941
discards,7BCEFGHJK,BLL,2012,7.507
landings,7BCEFGHJK,BLL,2012,136.285
discards,7BCEFGHJK,BLL,2013,0.862
landings,7BCEFGHJK,BLL,2013,126.248
discards,7BCEFGHJK,BLL,2014,1.27875
landings,7BCEFGHJK,BLL,2014,238.53551
discards,7BCEFGHJK,BLL,2015,7.733
landings,7BCEFGHJK,BLL,2015,255.87743
discards,7BCEFGHJK,BOC,2003,1393.17
landings,7BCEFGHJK,BOC,2003,0
discards,7BCEFGHJK,BOC,2004,110.471
landings,7BCEFGHJK,BOC,2004,0
discards,7BCEFGHJK,BOC,2005,22.734
landings,7BCEFGHJK,BOC,2005,0
discards,7BCEFGHJK,BOC,2006,40.789
landings,7BCEFGHJK,BOC,2006,0
discards,7BCEFGHJK,BOC,2007,20.844
landings,7BCEFGHJK,BOC,2007,0
discards,7BCEFGHJK,BOC,2008,49.459
landings,7BCEFGHJK,BOC,2008,0
discards,7BCEFGHJK,BOC,2009,5.281
landings,7BCEFGHJK,BOC,2009,0
discards,7BCEFGHJK,BOC,2010,1103.931
landings,7BCEFGHJK,BOC,2010,0
discards,7BCEFGHJK,BOC,2011,113.698
landings,7BCEFGHJK,BOC,2011,0.053
discards,7BCEFGHJK,BOC,2012,10.603
landings,7BCEFGHJK,BOC,2012,0
discards,7BCEFGHJK,BOC,2013,252.396
landings,7BCEFGHJK,BOC,2013,0
discards,7BCEFGHJK,BOC,2014,99.332
landings,7BCEFGHJK,BOC,2014,0
discards,7BCEFGHJK,BOC,2015,17.454
landings,7BCEFGHJK,BOC,2015,0
discards,7BCEFGHJK,BOG,2015,
landings,7BCEFGHJK,BOG,2015,0.00094
discards,7BCEFGHJK,BON,2014,
landings,7BCEFGHJK,BON,2014,0.023
discards,7BCEFGHJK,BON,2015,
landings,7BCEFGHJK,BON,2015,0.002
discards,7BCEFGHJK,BOR,2009,
landings,7BCEFGHJK,BOR,2009,3.1
discards,7BCEFGHJK,BOR,2010,
landings,7BCEFGHJK,BOR,2010,296.9999
discards,7BCEFGHJK,BOR,2011,
landings,7BCEFGHJK,BOR,2011,0.68
discards,7BCEFGHJK,BOR,2012,
landings,7BCEFGHJK,BOR,2012,1282.1476
discards,7BCEFGHJK,BRB,2003,7.711
landings,7BCEFGHJK,BRB,2003,323.898
discards,7BCEFGHJK,BRB,2004,24952.573
landings,7BCEFGHJK,BRB,2004,403.247
discards,7BCEFGHJK,BRB,2005,2623.755
landings,7BCEFGHJK,BRB,2005,483.389
discards,7BCEFGHJK,BRB,2006,2022.419
landings,7BCEFGHJK,BRB,2006,579.477
discards,7BCEFGHJK,BRB,2007,9.796
landings,7BCEFGHJK,BRB,2007,796.492
discards,7BCEFGHJK,BRB,2008,4.34
landings,7BCEFGHJK,BRB,2008,505.327
discards,7BCEFGHJK,BRB,2009,0.002
landings,7BCEFGHJK,BRB,2009,505.143
discards,7BCEFGHJK,BRB,2011,
landings,7BCEFGHJK,BRB,2011,48.336
discards,7BCEFGHJK,BRB,2012,0.098
landings,7BCEFGHJK,BRB,2012,32.402
discards,7BCEFGHJK,BRB,2013,1.859
landings,7BCEFGHJK,BRB,2013,32.175
discards,7BCEFGHJK,BRB,2014,19.049
landings,7BCEFGHJK,BRB,2014,396.71511
discards,7BCEFGHJK,BRB,2015,7.527
landings,7BCEFGHJK,BRB,2015,336.54044
discards,7BCEFGHJK,BRF,2003,0
landings,7BCEFGHJK,BRF,2003,29.4752
discards,7BCEFGHJK,BRF,2004,25.37
landings,7BCEFGHJK,BRF,2004,17.172
discards,7BCEFGHJK,BRF,2005,0
landings,7BCEFGHJK,BRF,2005,25.7736
discards,7BCEFGHJK,BRF,2006,0.223
landings,7BCEFGHJK,BRF,2006,31.0331
discards,7BCEFGHJK,BRF,2007,0
landings,7BCEFGHJK,BRF,2007,20.15
discards,7BCEFGHJK,BRF,2008,0
landings,7BCEFGHJK,BRF,2008,20.2177
discards,7BCEFGHJK,BRF,2009,
landings,7BCEFGHJK,BRF,2009,11.095
discards,7BCEFGHJK,BRF,2010,3782.998128
landings,7BCEFGHJK,BRF,2010,836.9649
discards,7BCEFGHJK,BRF,2011,42.796153
landings,7BCEFGHJK,BRF,2011,1002.50576
discards,7BCEFGHJK,BRF,2012,69.621352
landings,7BCEFGHJK,BRF,2012,10.1074
discards,7BCEFGHJK,BRF,2013,1385.020076
landings,7BCEFGHJK,BRF,2013,39.075
discards,7BCEFGHJK,BRF,2014,313.527108
landings,7BCEFGHJK,BRF,2014,64.66334
discards,7BCEFGHJK,BRF,2015,613.378408
landings,7BCEFGHJK,BRF,2015,88.29335
discards,7BCEFGHJK,BSF,2003,0
landings,7BCEFGHJK,BSF,2003,141.4189
discards,7BCEFGHJK,BSF,2004,119.397
landings,7BCEFGHJK,BSF,2004,147.071
discards,7BCEFGHJK,BSF,2005,0
landings,7BCEFGHJK,BSF,2005,73.966
discards,7BCEFGHJK,BSF,2006,0
landings,7BCEFGHJK,BSF,2006,74.8832
discards,7BCEFGHJK,BSF,2007,0
landings,7BCEFGHJK,BSF,2007,72.2601
discards,7BCEFGHJK,BSF,2008,0
landings,7BCEFGHJK,BSF,2008,0.6149
discards,7BCEFGHJK,BSF,2009,0
landings,7BCEFGHJK,BSF,2009,1.743
discards,7BCEFGHJK,BSF,2010,19479.862835
landings,7BCEFGHJK,BSF,2010,92.2799
discards,7BCEFGHJK,BSF,2011,1.065425
landings,7BCEFGHJK,BSF,2011,163.99616
discards,7BCEFGHJK,BSF,2012,14.950229
landings,7BCEFGHJK,BSF,2012,131.31921
discards,7BCEFGHJK,BSF,2013,141.767
landings,7BCEFGHJK,BSF,2013,190.83
discards,7BCEFGHJK,BSF,2014,217.89332
landings,7BCEFGHJK,BSF,2014,148.08989
discards,7BCEFGHJK,BSF,2015,0
landings,7BCEFGHJK,BSF,2015,111.35278
discards,7BCEFGHJK,BSH,2003,0
landings,7BCEFGHJK,BSH,2003,0.6
discards,7BCEFGHJK,BSH,2004,0
landings,7BCEFGHJK,BSH,2004,0.405
discards,7BCEFGHJK,BSH,2005,0
landings,7BCEFGHJK,BSH,2005,0.347
discards,7BCEFGHJK,BSH,2006,0
landings,7BCEFGHJK,BSH,2006,0.833
discards,7BCEFGHJK,BSH,2007,0
landings,7BCEFGHJK,BSH,2007,0.818
discards,7BCEFGHJK,BSH,2008,0
landings,7BCEFGHJK,BSH,2008,1.189
discards,7BCEFGHJK,BSH,2009,
landings,7BCEFGHJK,BSH,2009,1.189
discards,7BCEFGHJK,BSH,2011,
landings,7BCEFGHJK,BSH,2011,0.152
discards,7BCEFGHJK,BSH,2012,
landings,7BCEFGHJK,BSH,2012,3.396
discards,7BCEFGHJK,BSH,2013,0.07
landings,7BCEFGHJK,BSH,2013,1.391
discards,7BCEFGHJK,BSH,2014,0
landings,7BCEFGHJK,BSH,2014,10.43294
discards,7BCEFGHJK,BSH,2015,
landings,7BCEFGHJK,BSH,2015,10.49896
discards,7BCEFGHJK,BSK,2006,0
landings,7BCEFGHJK,BSK,2006,0.125
discards,7BCEFGHJK,BSK,2008,
landings,7BCEFGHJK,BSK,2008,0.33
discards,7BCEFGHJK,BSK,2009,
landings,7BCEFGHJK,BSK,2009,0.331
discards,7BCEFGHJK,BSS,2003,14.018
landings,7BCEFGHJK,BSS,2003,454.6668
discards,7BCEFGHJK,BSS,2004,0
landings,7BCEFGHJK,BSS,2004,535.186801
discards,7BCEFGHJK,BSS,2005,0
landings,7BCEFGHJK,BSS,2005,547.325101
discards,7BCEFGHJK,BSS,2006,26.046
landings,7BCEFGHJK,BSS,2006,531.023
discards,7BCEFGHJK,BSS,2007,55.379
landings,7BCEFGHJK,BSS,2007,435.0534
discards,7BCEFGHJK,BSS,2008,407.615
landings,7BCEFGHJK,BSS,2008,380.0107
discards,7BCEFGHJK,BSS,2009,8.037
landings,7BCEFGHJK,BSS,2009,332.07719
